name,username,season,earned,regression,events
Brick Wall Jr.,brickwall35,16,179,0,23
Brick Wall Jr.,brickwall35,17,139,0,20
Brick Wall Jr.,brickwall35,18,158,0,24
Brick Wall Jr.,brickwall35,19,137,0,24
Brick Wall Jr.,brickwall35,20,196,-280,29
Brick Wall Jr.,brickwall35,21,197,-336,20
Brick Wall Jr.,brickwall35,22,141,-316,24
Brick Wall Jr.,brickwall35,23,131,-340,28
Brick Wall Jr.,brickwall35,24,95,-345,18
Brick Wall Jr.,brickwall35,25,101,-314,19
Brick Wall Jr.,brickwall35,26,114,-282,18
Brick Wall Jr.,brickwall35,27,40,0,6
Alessandro Del Pirlo,Zoone16,16,247,0,31
Alessandro Del Pirlo,Zoone16,17,182,0,29
Alessandro Del Pirlo,Zoone16,18,187,0,32
Alessandro Del Pirlo,Zoone16,19,171,0,29
Alessandro Del Pirlo,Zoone16,20,210,-321,34
Alessandro Del Pirlo,Zoone16,21,240,-397,29
Alessandro Del Pirlo,Zoone16,22,220,-376,39
Alessandro Del Pirlo,Zoone16,23,211,-420,39
Alessandro Del Pirlo,Zoone16,24,179,-444,31
Alessandro Del Pirlo,Zoone16,25,189,-426,35
Alessandro Del Pirlo,Zoone16,26,172,-389,32
Wang Zhihao,Puppy,16,157,0,26
Wang Zhihao,Puppy,17,282,0,35
Wang Zhihao,Puppy,18,197,0,33
Wang Zhihao,Puppy,19,169,0,30
Wang Zhihao,Puppy,20,226,-334,36
Wang Zhihao,Puppy,21,254,-406,25
Wang Zhihao,Puppy,22,166,-378,26
Wang Zhihao,Puppy,23,164,-418,32
Wang Zhihao,Puppy,24,129,-427,20
Wang Zhihao,Puppy,25,120,-384,18
Wang Zhihao,Puppy,26,122,-327,17
Gerd Klose,Muford,16,257,0,28
Gerd Klose,Muford,17,180,0,27
Gerd Klose,Muford,18,216,0,21
Gerd Klose,Muford,19,145,0,21
Gerd Klose,Muford,20,119,0,15
Gerd Klose,Muford,21,202,-292,21
Gerd Klose,Muford,22,72,-274,12
Gerd Klose,Muford,23,36,-317,4
Gerd Klose,Muford,24,0,-317,0
Gerd Klose,Muford,25,0,-285,0
Gerd Klose,Muford,26,0,-233,0
Steven Urkel,ZootTX,16,211,0,28
Steven Urkel,ZootTX,17,149,0,27
Steven Urkel,ZootTX,18,229,0,34
Steven Urkel,ZootTX,19,161,0,29
Steven Urkel,ZootTX,20,237,0,36
Steven Urkel,ZootTX,21,271,-316,31
Steven Urkel,ZootTX,22,169,-310,31
Steven Urkel,ZootTX,23,193,-384,34
Steven Urkel,ZootTX,24,132,-428,22
Steven Urkel,ZootTX,25,146,-424,25
Steven Urkel,ZootTX,26,106,-387,18
Steven Urkel,ZootTX,27,66,0,9
Marco Tentacles,Squid,16,233,0,30
Marco Tentacles,Squid,17,173,0,29
Marco Tentacles,Squid,18,223,0,33
Marco Tentacles,Squid,19,136,0,28
Marco Tentacles,Squid,20,258,0,37
Marco Tentacles,Squid,21,257,-315,29
Marco Tentacles,Squid,22,162,-308,30
Marco Tentacles,Squid,23,213,-381,39
Marco Tentacles,Squid,24,130,-427,24
Marco Tentacles,Squid,25,96,-414,15
Marco Tentacles,Squid,26,78,-361,13
Nathan Cormier,JR95,16,231,0,29
Nathan Cormier,JR95,17,200,0,30
Nathan Cormier,JR95,18,183,0,31
Nathan Cormier,JR95,19,122,0,17
Nathan Cormier,JR95,20,194,0,27
Nathan Cormier,JR95,21,100,0,20
Nathan Cormier,JR95,22,105,-188,18
Nathan Cormier,JR95,23,71,-260,12
Nathan Cormier,JR95,24,12,-303,2
Nathan Cormier,JR95,25,0,-302,0
Nathan Cormier,JR95,26,0,-272,0
Mei Sukzuki,Breeze837,16,118,0,15
Mei Sukzuki,Breeze837,17,161,0,16
Mei Sukzuki,Breeze837,18,106,0,15
Mei Sukzuki,Breeze837,19,77,0,15
Mei Sukzuki,Breeze837,20,167,0,19
Mei Sukzuki,Breeze837,21,18,0,2
Mei Sukzuki,Breeze837,22,24,-126,3
Mei Sukzuki,Breeze837,23,18,-172,3
Mei Sukzuki,Breeze837,24,24,-199,4
Mei Sukzuki,Breeze837,25,0,-201,0
Mei Sukzuki,Breeze837,26,0,-181,0
Bérangère-Amandine Bruère-Estrangin,JURT,16,114,0,16
Bérangère-Amandine Bruère-Estrangin,JURT,17,110,0,13
Bérangère-Amandine Bruère-Estrangin,JURT,18,148,0,23
Bérangère-Amandine Bruère-Estrangin,JURT,19,98,0,16
Bérangère-Amandine Bruère-Estrangin,JURT,20,159,0,23
Bérangère-Amandine Bruère-Estrangin,JURT,21,59,0,11
Bérangère-Amandine Bruère-Estrangin,JURT,22,64,0,13
Bérangère-Amandine Bruère-Estrangin,JURT,23,108,-132,18
Bérangère-Amandine Bruère-Estrangin,JURT,24,130,-195,21
Bérangère-Amandine Bruère-Estrangin,JURT,25,56,-239,11
Bérangère-Amandine Bruère-Estrangin,JURT,26,36,-249,4
Bérangère-Amandine Bruère-Estrangin,JURT,27,28,0,3
Fernand Rivest,Frenchie,16,201,0,22
Fernand Rivest,Frenchie,17,168,0,19
Fernand Rivest,Frenchie,18,165,0,24
Fernand Rivest,Frenchie,19,49,0,5
Fernand Rivest,Frenchie,20,28,0,5
Fernand Rivest,Frenchie,21,18,0,2
Fernand Rivest,Frenchie,22,18,0,2
Fernand Rivest,Frenchie,23,0,-108,0
Fernand Rivest,Frenchie,24,0,-146,0
Fernand Rivest,Frenchie,25,0,-165,0
Fernand Rivest,Frenchie,26,0,-165,0
Duncan Walrusson,Jexter,16,204,0,27
Duncan Walrusson,Jexter,17,119,0,22
Duncan Walrusson,Jexter,18,248,0,32
Duncan Walrusson,Jexter,19,129,0,26
Duncan Walrusson,Jexter,20,203,0,31
Duncan Walrusson,Jexter,21,162,0,30
Duncan Walrusson,Jexter,22,177,0,35
Duncan Walrusson,Jexter,23,210,-192,39
Duncan Walrusson,Jexter,24,173,-291,31
Duncan Walrusson,Jexter,25,162,-361,31
Duncan Walrusson,Jexter,26,166,-404,30
Duncan Walrusson,Jexter,27,62,0,11
Beaklie Eilish,kahri,16,161,0,23
Beaklie Eilish,kahri,17,254,0,30
Beaklie Eilish,kahri,18,180,0,32
Beaklie Eilish,kahri,19,198,0,31
Beaklie Eilish,kahri,20,203,0,32
Beaklie Eilish,kahri,21,133,0,23
Beaklie Eilish,kahri,22,160,0,29
Beaklie Eilish,kahri,23,226,-200,43
Beaklie Eilish,kahri,24,158,-301,25
Beaklie Eilish,kahri,25,136,-369,21
Beaklie Eilish,kahri,26,141,-402,21
Beaklie Eilish,kahri,27,30,0,5
Alexandros Mograine,sliceruser,16,201,0,27
Alexandros Mograine,sliceruser,17,206,0,30
Alexandros Mograine,sliceruser,18,237,0,35
Alexandros Mograine,sliceruser,19,167,0,30
Alexandros Mograine,sliceruser,20,258,0,37
Alexandros Mograine,sliceruser,21,133,0,27
Alexandros Mograine,sliceruser,22,184,0,35
Alexandros Mograine,sliceruser,23,167,-207,30
Alexandros Mograine,sliceruser,24,152,-307,28
Alexandros Mograine,sliceruser,25,130,-373,22
Alexandros Mograine,sliceruser,26,118,-403,23
Alexandros Mograine,sliceruser,27,12,0,2
Santos Neymarinho,5oulja,16,171,0,26
Santos Neymarinho,5oulja,17,188,0,28
Santos Neymarinho,5oulja,18,214,0,31
Santos Neymarinho,5oulja,19,176,0,26
Santos Neymarinho,5oulja,20,187,0,30
Santos Neymarinho,5oulja,21,152,0,27
Santos Neymarinho,5oulja,22,147,0,24
Santos Neymarinho,5oulja,23,140,-191,29
Santos Neymarinho,5oulja,24,0,-264,0
Santos Neymarinho,5oulja,25,0,-298,0
Santos Neymarinho,5oulja,26,12,-301,2
Sterling Scott,AgentSmith,16,225,0,27
Sterling Scott,AgentSmith,17,184,0,26
Sterling Scott,AgentSmith,18,209,0,32
Sterling Scott,AgentSmith,19,93,0,20
Sterling Scott,AgentSmith,20,220,0,33
Sterling Scott,AgentSmith,21,122,0,23
Sterling Scott,AgentSmith,22,178,0,34
Sterling Scott,AgentSmith,23,189,-192,34
Sterling Scott,AgentSmith,24,179,-290,31
Sterling Scott,AgentSmith,25,147,-358,28
Sterling Scott,AgentSmith,26,151,-393,27
Sterling Scott,AgentSmith,27,52,0,8
Jean Girard,Gordon Bombay,16,120,0,16
Jean Girard,Gordon Bombay,17,102,0,12
Jean Girard,Gordon Bombay,18,156,0,18
Jean Girard,Gordon Bombay,19,73,0,9
Jean Girard,Gordon Bombay,20,148,0,13
Jean Girard,Gordon Bombay,21,96,0,15
Jean Girard,Gordon Bombay,23,36,-125,3
Jean Girard,Gordon Bombay,24,0,-168,0
Jean Girard,Gordon Bombay,25,0,-190,0
Jean Girard,Gordon Bombay,26,0,-190,0
Evan Hunt,MattyIce,16,146,0,21
Evan Hunt,MattyIce,17,210,0,24
Evan Hunt,MattyIce,18,114,0,21
Evan Hunt,MattyIce,19,132,0,20
Evan Hunt,MattyIce,20,172,0,27
Evan Hunt,MattyIce,21,115,0,19
Evan Hunt,MattyIce,22,108,0,17
Evan Hunt,MattyIce,23,95,-155,15
Evan Hunt,MattyIce,24,126,-232,21
Evan Hunt,MattyIce,25,78,-277,13
Evan Hunt,MattyIce,26,66,-295,9
Evan Hunt,MattyIce,27,42,0,5
Zyqwarndalethron Velstrazyn-Smith,jason kranz,16,158,0,24
Zyqwarndalethron Velstrazyn-Smith,jason kranz,17,168,0,23
Zyqwarndalethron Velstrazyn-Smith,jason kranz,18,289,0,37
Zyqwarndalethron Velstrazyn-Smith,jason kranz,19,104,0,19
Zyqwarndalethron Velstrazyn-Smith,jason kranz,20,28,0,5
Zyqwarndalethron Velstrazyn-Smith,jason kranz,23,0,-129,0
Zyqwarndalethron Velstrazyn-Smith,jason kranz,24,0,-174,0
Zyqwarndalethron Velstrazyn-Smith,jason kranz,25,0,-197,0
Zyqwarndalethron Velstrazyn-Smith,jason kranz,26,0,-197,0
Devon Wagner,Gage2,16,120,0,15
Devon Wagner,Gage2,17,91,0,10
Devon Wagner,Gage2,18,118,0,10
Devon Wagner,Gage2,19,72,0,8
Devon Wagner,Gage2,20,112,0,14
Devon Wagner,Gage2,21,18,0,2
Devon Wagner,Gage2,23,0,-103,0
Devon Wagner,Gage2,24,0,-139,0
Devon Wagner,Gage2,25,0,-157,0
Devon Wagner,Gage2,26,0,-157,0
Ilya Prusikin,OrbitingDeath,16,195,0,27
Ilya Prusikin,OrbitingDeath,17,234,0,32
Ilya Prusikin,OrbitingDeath,18,213,0,32
Ilya Prusikin,OrbitingDeath,19,176,0,30
Ilya Prusikin,OrbitingDeath,20,231,0,34
Ilya Prusikin,OrbitingDeath,21,179,0,33
Ilya Prusikin,OrbitingDeath,22,186,0,35
Ilya Prusikin,OrbitingDeath,23,235,-216,43
Ilya Prusikin,OrbitingDeath,24,177,-323,31
Ilya Prusikin,OrbitingDeath,25,157,-396,28
Ilya Prusikin,OrbitingDeath,26,190,-441,33
Ilya Prusikin,OrbitingDeath,27,83,0,13
William Williams,Xotcin,16,208,0,27
William Williams,Xotcin,17,223,0,30
William Williams,Xotcin,18,192,0,31
William Williams,Xotcin,19,174,0,30
William Williams,Xotcin,20,209,0,33
William Williams,Xotcin,21,112,0,19
William Williams,Xotcin,22,147,0,27
William Williams,Xotcin,23,149,-190,24
William Williams,Xotcin,24,51,-271,9
William Williams,Xotcin,25,54,-317,7
William Williams,Xotcin,26,33,-326,6
Anthony Lee,Antman,16,119,0,18
Anthony Lee,Antman,17,123,0,19
Anthony Lee,Antman,18,167,0,24
Anthony Lee,Antman,19,87,0,18
Anthony Lee,Antman,20,155,0,23
Anthony Lee,Antman,21,104,0,21
Anthony Lee,Antman,22,109,0,25
Anthony Lee,Antman,23,148,-145,28
Anthony Lee,Antman,24,102,-216,20
Anthony Lee,Antman,25,121,-267,23
Anthony Lee,Antman,26,117,-295,22
Anthony Lee,Antman,27,7,0,1
Puma Superhoops,kdr,16,146,0,23
Puma Superhoops,kdr,17,216,0,28
Puma Superhoops,kdr,18,204,0,35
Puma Superhoops,kdr,19,131,0,26
Puma Superhoops,kdr,20,171,0,27
Puma Superhoops,kdr,21,81,0,14
Puma Superhoops,kdr,22,46,0,7
Puma Superhoops,kdr,23,98,-153,16
Puma Superhoops,kdr,24,161,-239,28
Puma Superhoops,kdr,25,99,-285,16
Puma Superhoops,kdr,26,89,-314,15
Puma Superhoops,kdr,27,42,0,6
Louie Duck,xjoverax,16,186,0,24
Louie Duck,xjoverax,17,146,0,27
Louie Duck,xjoverax,18,221,0,33
Louie Duck,xjoverax,19,181,0,30
Louie Duck,xjoverax,20,195,0,28
Louie Duck,xjoverax,21,147,0,23
Louie Duck,xjoverax,22,30,0,4
Louie Duck,xjoverax,24,0,-150,0
Louie Duck,xjoverax,25,0,-202,0
Louie Duck,xjoverax,26,0,-228,0
Hercule Hefeweizen,Wiggli,16,208,0,25
Hercule Hefeweizen,Wiggli,17,179,0,31
Hercule Hefeweizen,Wiggli,18,276,0,36
Hercule Hefeweizen,Wiggli,19,160,0,29
Hercule Hefeweizen,Wiggli,20,219,0,34
Hercule Hefeweizen,Wiggli,21,209,0,34
Hercule Hefeweizen,Wiggli,22,162,0,33
Hercule Hefeweizen,Wiggli,23,216,0,42
Hercule Hefeweizen,Wiggli,24,183,-221,32
Hercule Hefeweizen,Wiggli,25,182,-322,35
Hercule Hefeweizen,Wiggli,26,153,-398,29
Hercule Hefeweizen,Wiggli,27,64,0,10
Mikko Rashford II,RashfordU,16,200,0,25
Mikko Rashford II,RashfordU,17,195,0,29
Mikko Rashford II,RashfordU,18,209,0,32
Mikko Rashford II,RashfordU,19,177,0,30
Mikko Rashford II,RashfordU,20,248,0,36
Mikko Rashford II,RashfordU,21,186,0,32
Mikko Rashford II,RashfordU,22,214,0,36
Mikko Rashford II,RashfordU,23,221,0,40
Mikko Rashford II,RashfordU,24,105,-216,17
Mikko Rashford II,RashfordU,25,113,-308,17
Mikko Rashford II,RashfordU,26,160,-378,27
Mikko Rashford II,RashfordU,27,74,0,11
Hippity Hoppity,bfan8475,16,188,0,24
Hippity Hoppity,bfan8475,17,171,0,29
Hippity Hoppity,bfan8475,18,267,0,34
Hippity Hoppity,bfan8475,19,154,0,28
Hippity Hoppity,bfan8475,20,252,0,35
Hippity Hoppity,bfan8475,21,147,0,26
Hippity Hoppity,bfan8475,22,18,0,2
Hippity Hoppity,bfan8475,24,0,-160,0
Hippity Hoppity,bfan8475,25,0,-215,0
Hippity Hoppity,bfan8475,26,0,-244,0
Roquefort Cotswold,roquefort,16,191,0,24
Roquefort Cotswold,roquefort,17,205,0,30
Roquefort Cotswold,roquefort,18,254,0,37
Roquefort Cotswold,roquefort,19,180,0,30
Roquefort Cotswold,roquefort,20,243,0,36
Roquefort Cotswold,roquefort,21,197,0,34
Roquefort Cotswold,roquefort,22,197,0,39
Roquefort Cotswold,roquefort,23,244,0,44
Roquefort Cotswold,roquefort,24,195,-227,33
Roquefort Cotswold,roquefort,25,190,-334,34
Roquefort Cotswold,roquefort,26,156,-415,29
Roquefort Cotswold,roquefort,27,81,0,12
Jia Yun,SDCore,16,136,0,11
Jia Yun,SDCore,17,55,0,8
Jia Yun,SDCore,18,46,0,2
